agent_id,display_name,approach,deck_archetype,decision_style,key_cards,notable_techniques,reusable_ideas,weaknesses,has_learned_weights,uses_search,deck_source,total_lines,is_duplicate,loads_ok,rank,win_rate
lucario_deck_v2_play_like_a_bot_1781877645516,[Lucario Deck V2] Play Like a Bot,rule-based/heuristic,"名称はLucarioだが実体はストーンジョーナー(Stonjourner682/Rolycoly704,闘)",StonjournerPolicyでスコア化→argmax＋任意の前方探索で全行動列挙し盤面評価最大化,"Stonjourner(Boundless Power140),Boss,Premium Power Pro,Carmine","実エンジン前方探索で1手先読み＋貪欲補完,Boundless Powerのクールダウン管理,診断統計収集","前方探索フレームワーク(列挙→sim→評価),診断ロギングでフォールバック率計測,HP比でKO狙い加点","Rolycolyのid(704)が推定でズレ得る,単一アタッカー依存で打点低い(最大140),相手モデル粗い",0,0,deck.csv読込,1067,0,1,,
mega_lucario_v2_crustle_aware_be_1781877645555,Mega Lucario V2 Crustle-Aware Best Submit,rule-based/heuristic,"メガルカリオex(Riolu677/Mega Lucario ex678+ハリヤマ,ルナトーン/ソルロック補助)","クラス化LucarioPolicyで文脈別スコア化→argmax,_plan_attackで進化後攻撃も見越し計画","Mega Lucario ex(678),Mega Brave(983),Hariyama(674),Boss,Gravity Mountain","facing_crustleフラグでハリヤマ線優先,ex/メガexのCrustle免疫判定,例外時合法フォールバック,行動回数上限でEND","facing_crustleの対面認識分岐,進化込みの攻撃計画,try/exceptと_legal_fallbackの堅牢設計","攻撃インデックスを0/1固定で多技に非対応,Lunatone特性管理が粗い,スコア定数依存",0,0,deck.csv読込,613,0,1,10,67
mega_venusaur_ex_deck_v1_rule_ba_1781920115073,Mega Venusaur ex Deck V1:Rule-Based Agent,rule-based/heuristic,"メガフシギバナex草(Bulbasaur/Ivysaur/Mega Venusaur ex,Teal Mask Ogerpon ex,活力の森)","ターン頭にAttackPlanを事前計算→全選択肢スコア化argmax,グローバルplanを毎ターン再生成","Mega Venusaur ex(652),Teal Mask Ogerpon ex(96),活力の森(1261),Precious Carry,Boss","prize_count(Legacy/Lillie補正),進化ライン段階に応じた探索価値,best_bench_attacker比較,Ogerpon特性最優先","ターン単位AttackPlan事前計算をスコア一貫性に利用,prize_countでサイド正確評価,進化前提付き探索スコア","攻撃が20000+option_index固定で打点/KO比較が雑,get_card外はtry無し,先後処理が限定的",0,0,deck.csv読込,741,0,1,,
pokemon_ai_battle_agent_mega_luc_1781877645341,Pokemon AI Battle Agent: Mega Lucario 🤖,rule-based/heuristic,"メガルカリオex(Riolu主軸+Hariyama/Solrock,闘13,デッキ直書き)",LucarioPolicyスコア化を土台にsearch API(search_begin/step)で先頭6候補を前方ロールアウト評価,"Mega Lucario ex(678),Hariyama(674),Crustle(345),Boss,Hero Cape","1.5秒予算で各初手を展開しevaluate_state(prize差×10000)で最良初手選択,search欠如時はヒューリスティック退避","forward search APIで初手だけ実ロールアウト評価する軽量探索枠組み,時間予算管理","探索は初手1手のみで相手手番は読まず評価が粗い,search非対応環境で通常方策に退化,計算コスト増",0,0,?,704,0,1,,
pokemon_eda_test_random_1781877645444,Pokemon EDA+test random,rule-based/heuristic,"水ファミリー(Finizen→Palafin ex,Staryu→Mega Starmie ex,Feebas→Milotic ex,水)","WaterPolicyで選択肢スコア化→argmax＋任意の単手前方探索,名称はrandomだが実体は強ヒューリスティック","Palafin ex(107),Mega Starmie ex(1031),Milotic ex(207),Switch,Boss","進化先が手札にあればevolve/play/switchへ10万点超優先,deck<=8でドロー封印,合法性厳守,攻撃plan全探索","進化元が場+進化先が手札で進化最優先する加点,deckoutガード,search_plan(候補をforward modelで完走評価)","3系統exで器用貧乏化,相手特性無対応,探索は単手1候補完走のみで浅い,IDハードコード依存",0,0,?,408,0,1,,
pokemon_tcg_ai_battle_1084_5_bas_1781920075162,Pokemon TCG AI Battle - 1084.5 Baseline,rule-based/heuristic,"メガルカリオex(配布デッキ素体,Hariyama/Solrock/Lunatone,闘単)","全選択肢スコア表argmax,ターン頭AttackPlan探索→plan駆動","Mega Lucario ex(678),Hariyama,Solrock,Boss Orders,Carmine","弱点抵抗計算,サイド計算,エネ相性スコア,先後出し分け,ルナトーン特性優先","AttackPlan＋エネ貼り連動の配布テンプレ構造,TO_HANDサーチ評価の枠組み","Crustle/壁デッキ非対応,DISCARDやダメカン配置未評価,IDハードコード依存",0,0,deck.csv読込,596,0,1,1,72
pokemon_tcg_lucario_v2_strategy__1781877645325,Pokemon TCG — Lucario v2 Strategy Baseline,rule-based/heuristic,"メガルカリオex(678ライン+Hariyama,相手用にCrustle/Kyogre/Abomasnow定義)","LucarioPolicyスコア化→argmax,相手盤面からcrustle_wall/water_deck判定し重み切替,攻撃プラン全探索","Mega Lucario ex(678),Hariyama,Snover,Kyogre,Boss","相手アーキ自動分類しCrustle壁時はHariyamaへ攻撃エネ大幅加点,ex攻撃を壁に抑制,メタ対象を狙撃","相手アーキ別の重み動的切替,メタ脅威カードへのターゲット加点,ex攻撃の壁抑制ロジック","デッキ固定,探索はUSE_SEARCH=Falseで1ply貪欲,water判定の活用が限定的,ID依存多い",0,0,deck.csv読込,1411,0,1,,
ptcg_ai_battle_heuristic_agent_d_1781877645648,PTCG AI Battle: Heuristic Agent & Data Pipeline,rule-based/heuristic,"不明(deck.csv外部,自己流パース)",選択肢をstr(opt)化し文字列マッチでスコア化→argmax(cg.api不使用),特になし(damageフィールドのみ加点),"依存ライブラリ無しでdict/object両対応のsafe_get,文字列化による型非依存パース","外部API無しでも動く防御的パース,minCount/maxCountへの動的スケーリング","文字列マッチが脆くenum表現変化で機能停止,盤面/手札評価が皆無でほぼランダム,戦略性最低",0,0,deck.csv読込,79,0,1,,
ptcg_ai_battle_simulation_lucari_1781877645698,PTCG AI Battle Simulation - Lucario Submission,探索(MCTS等),"メガルカリオex闘(Riolu/Mega Lucario ex,Makuhita/Hariyama,Lunatone/Solrock壁)","弱点/抵抗/打点/サイドを織込んだ攻撃プラン探索→argmax,任意forward search(既定OFF)","Mega Lucario ex(Mega Brave983),Hariyama(674),Premium Power Pro,Boss","エンジンforward modelで実ロールアウト評価,弱点×2/抵抗-30の打点計算,サイド数でフィニッシュ判定,全体try防御","search_begin/step/releaseで1ply+貪欲完了の前向き探索,evaluate_stateの盤面評価関数,弱点込み打点先読み","USE_SEARCH既定OFFで通常はヒューリスティックのみ,search semanticsがSDK依存で未検証,2エネ管理が脆い",0,1,deck.csv読込,658,0,1,,
ptcg_crustle_v1_submit_1781920360147,PTCG Crustle V1 Submit,rule-based/heuristic,"Crustleウォール(Dwebble→Crustle345を壁に,Jumbo Ice/Cook回復＋Battle Cage,草)",全選択肢を大きな定数ベースの文脈別スコア化→正スコアのみ/argmaxで選択,"Crustle(345),Dwebble(344),Jumbo Ice(1147),Hero Cape(1159),Cook(1212),Battle Cage(1264)","crustle_ready(エネ3＋草)判定,回復札を被ダメ50以上で発動,weakness考慮のtarget_score,Hero Cape重複防止","被ダメ閾値で回復/サポート札を起動,エネ枚数別attachスコアの傾斜,重複ツール/スタジアム貼り直し防止","攻撃plan探索がなく単発スコアのみ,相手アーキ検知なし,END選択を-10万固定で過度に行動継続しがち",0,0,ハードコード,423,0,1,5,69
ptcg_ensemble_pimc_mcts_agent_1781920086444,PTCG Ensemble-PIMC MCTS Agent,探索(MCTS等),"メガアバゴーラ系水単(Snover722→Abomasnow723→Mega721,水35)","アンサンブル決定化MCTS(UCT/PUCT)を高価値MAINで実行,それ以外と失敗時はheuristic.py(デッキ非依存)へフォールバック","Mega Abomasnow ex(721),heuristic由来の汎用評価","engine forward modelで複数determinization×UCT探索,葉でF0ロールアウト,visit集計で根手選択,remainingOverageTime監視","決定化MCTSのvisit投票アンサンブル,F0ロールアウト方策,_determinize,時間/シミュ二重上限","相手モデルが自デッキミラーで弱い,F0がデッキ非依存ゆえ専用最適化薄い,予算次第で浅探索",0,1,deck.csv読込,791,0,1,,
ptcg_generic_heuristic_baseline__1781920099299,PTCG Generic Heuristic Baseline Agent,rule-based/heuristic,"メガアバゴーラex(Kyogre721/Snover722/Mega Abomasnow ex723,水)だが意思決定はデッキ非依存","全context汎用スコア化→top-k,MAINは行動種別ごとの大域スコアでargmax","カードID非依存,CardType/weakness/resistanceをDBから動的参照","例外で絶対落ちない多重フォールバック,ターン行動上限40で無限ループ防止,進化/特性優先,弱点抵抗込み打点","完全デッキ非依存の堅牢ベースライン雛形,context別汎用ハンドラ群","デッキ固有コンボ非対応で平均打点止まり,相手脅威の先読みなし",0,0,deck.csv読込,450,0,1,,
ptcg_public_915_lucario_search_b_1781877645497,PTCG Public 915+ Lucario Search Baseline,rule-based/heuristic,"メガルカリオex(Mega Lucario ex678/Hariyama674,闘,Legacy Energy)",Policyスコア化→argmax＋前方探索ON:上位6候補を各40手まで貪欲ロールアウトし盤面評価で1手選択,"Mega Lucario ex(Mega Brave983),Hariyama,Boss,Hero Cape","実エンジン前方探索,Lunatone特性のデッキアウト防止,prize補正,弱点抵抗反映,多段フォールバック","上位候補のみ探索する枝刈り型ロールアウト,search_end確実呼出,ドロー系抑制の枯渇ガード","Crustle壁を明示考慮せずex打点が無効化される穴,探索の相手手は貪欲のみで浅い,デッキ固定",0,0,ハードコード,459,0,1,,
ptcg_tiny_rl_to_submission_basel_1781877645369,PTCG Tiny RL to Submission Baseline Guide,learned-linear(重み直書き),"不明(deck.csv外部,学習用ベースライン)",学習済み線形重み(LEARNED_WEIGHTS)で各選択肢を特徴量内積→argmax,特になし(カード種別basic/pokemon/trainer/energyで重み付け),"線形モデルによる軽量方策,被ダメ量の正規化特徴,random_noise項,try/exceptの二重フォールバック","学習済み線形重みをそのまま方策化,特徴量設計(攻撃/付与/被ダメ/標的)の最小セット,微小ノイズで多様性","重みが汎用的で局面特化せず弱い,カードID個別戦略無し,attack重みが高いだけで詰めを欠く",1,0,deck.csv読込,131,0,1,,
public_scores_915_1781877645482,[public] scores 915+,rule-based/heuristic,メガルカリオex闘(lucari版と同系デッキ),"Policyクラスで攻撃プラン構築→__slots__付きPlanでargmax,USE_SEARCH=True既定でforward search有効","Mega Lucario ex(678),Hariyama(674),Gravity Mountain(1252),Premium Power Pro,Carmine","前向き探索が既定ON,Gravity MountainをStage2在席時に強化,LOW_DECK枯渇防止,__slots__最適化,全体try防御","探索を既定ONにした実運用構成,相手Stage2検知でスタジアム価値を動的変更,deckCount枯渇ガード","search_end()がsid無視で解放が曖昧(リーク懸念),search semantics未検証で実環境無効化の恐れ,lucari版と高重複",0,0,ハードコード,459,1,1,,
simple_baseline_matchup_tests_1781877645289,Simple Baseline + Matchup Tests,rule-based/heuristic,"メガルカリオex(対面別チューニング版,Hariyama対Crustle,対水補正)","LucarioPolicyスコア化＋攻撃plan全探索,対面検知で重み切替","Mega Lucario ex(678),Hariyama(674),Crustle(345)/水(721-723),Hero Cape,Boss",相手が水/CrustleウォールかをID集合で判定しHero Cape貼り先・エネ振り・進化・攻撃可否を対面別調整,"相手デッキタイプ判定→スコア重みを面で切替えるマッチアップ適応,脅威カードへの加点ターゲティング","例外処理なくクラッシュ耐性低い,対面判定は2アーキのみ,探索は単手plan止まり,調整値ハードコード",0,0,deck.csv読込,596,1,1,2,72
strong_start_crustle_lucario_age_1781877645238,[STRONG START]: Crustle+Lucario Agent V7 | LB 960+,探索(MCTS等),"メガルカリオex(Riolu→Mega Lucario ex主軸+Hariyama/Solrock,対Crustleメタ)",サンプル系ヒューリスティックを拡張し選択肢スコア化→argmax＋任意forward search(既定OFF),"Mega Lucario ex(678),Hariyama(674非ex壁突破),Crustle(345),Boss","Crustle特性(ex無効)を検知しex攻撃をdamage=0/-10000で回避しHariyamaへ迂回,LOW_DECKでドロー封印,bench/discard/ダメカン配置のcontext追加","相手特定特性メタ(Crustle回避),deckoutガード,bench/discard/ダメカン配置の文脈別スコア,crash-safeラッパ","Crustle以外の特性無対応で同型問題残存,探索既定OFFで実質1ply貪欲,IDハードコード依存",0,1,deck.csv読込,732,0,1,,
strong_start_crustle_lucario_age_1781877645751,[STRONG START]: Crustle+Lucario Agent V7 | LB 960+,探索(MCTS等),"メガルカリオex(Crustle壁メタ特化,闘単)","配布heuristicを全選択肢スコアargmax,任意でengine forward-searchの1手読み＋貪欲","Mega Lucario ex(678),Hariyama(345Crustle対策の非ex打点),Boss Orders","Crustle(345)のex無効化を検知しex打点を-10000で回避しHariyamaへ迂回,deckout防止,search失敗時退避","相手特性メタ(無効化壁の迂回),1ply探索＋evaluate_state,DISCARD/ダメカン評価","forward-search既定OFFでSDK依存,IDハードコード,Crustle以外の壁は未対応",0,1,deck.csv読込,732,1,1,,
strong_start_crustle_lucario_age_1781920069253,[STRONG START]: Crustle+Lucario Agent V9 | LB 950+,探索(MCTS等),"メガルカリオex(678ライン+Hariyama,Crustle345はメタ対象)","heuristicで全選択肢スコア化→argmax,攻撃プラン全探索,任意前方探索(既定OFF)","Mega Lucario ex(Mega Brave983),Hariyama,Boss,Carmine,Gravity Mountain","CRUSTLE_AWAREでex打点無効と判定しscore=-10000で回避,捨て札優先度が緻密,Lunatoneデッキアウト防止","捨て札選択(死札捨て鍵札保護)の詳細スコア,ベンチ展開優先度,Crustle回避と安全フォールバック","デフォルト探索オフ=1ply貪欲,デッキ固定,Crustle以外の耐性非対応,相手手札非考慮",0,1,deck.csv読込,732,1,1,9,67
top_dragapult_ex_tempo_control_a_1781877645620,Top Dragapult ex Tempo Control Agent,rule-based/heuristic,"ドラパルトex(Dreepy119/Drakloak120/Dragapult ex121)テンポ寄り,Budew/Latias ex/Meowth ex","クラス化方策で文脈ごとにスコア関数を切替→argmax,YES_NO/COUNTは専用ショートカット","Dragapult ex(121),Phantom Dive(154),Rare Candy,Boss,Unfair Stamp,Budew","多数のSelectContextを網羅した分岐,先攻志向,getattrベースの全面防御アクセス,setup_need/energy_need抽象化","SelectContext網羅のスコア関数ディスパッチ,必要度の抽象化,getattr防御でクラッシュ耐性","山札残数や免疫判定が無くサンプル版より読みが浅い,ダメカン分配が単純,スコア定数依存",0,0,?,663,1,1,,
